Offense,Total,Male,Female
Murder,8267,7317,950
Rape,16473,16014,459
Robbery,74432,64061,10371
Assault,293005,225636,67369
Burglary,187474,154115,33359
Larceny,978033,555217,422816
VehicleTheft,53744,42837,10907
Arson,7357,5920,1437
ViolentCrime,392177,313028,79149
PropertyCrime,1226608,758089,468519
Assaults,859214,619144,240070
ForgeryCounterfeiting,44609,28356,16253
Fraud,110355,67142,43213
Embezzlement,12772,6464,6308
StolenProperty,70170,55035,15135
Vandalism,155893,123779,32114
Weapons,110367,100660,9707
Prostitution,37222,12544,24678
SexOffenses,43422,40073,3349
DrugAbuse,1223505,956012,267493
Gambling,4373,3747,626
OffensesChildren,79556,57845,21711
Driving,872184,654526,217658
LiquorLaws,249970,178982,70988
Drunkenness,328466,266311,62155
DisorderlyConduct,341979,247340,94639
Vagrancy,21810,17000,4810
AllOther,2563166,1902258,660908
Suspicion,1068,776,292
CurfewViolations,41741,30197,11544